SNO,Category,States/UTs,Number of human lives lost per 1 crore population due to extreme weather events,Disaster preparedness score as per Disaster Resilience Index,Percentage of renewable energy out of total installed generating capacity (including allocated shares),"CO2 saved from LED bulbs per 1,000 population (Tonnes)","Disability Adjusted Life Years (DALY) rate  attributable to air pollution (per 1,00,000 population)"
1,Union Territory,Andaman and Nicobar Islands,53.9352238,20.5,46.25603865,104.9301746,2858.935484
2,State,Andhra Pradesh,15.56734317,19.5,40.72527666,43.86758501,3007
3,State,Arunachal Pradesh,221.0314802,11.5,84.78245092,34.18542615,1436
4,State,Assam,15.56854566,23,32.27202017,21.47245058,3464
5,State,Bihar,,19.5,7.913384876,16.64637212,4308
6,Union Territory,Chandigarh,,24.5,69.4031283,48.10726073,
7,State,Chhattisgarh,2.458901222,14,5.944421584,38.3222211,3667
8,Union Territory,Dadra and Nagar Haveli,,17,1.095527599,27.65810594,
9,Union Territory,Daman and Diu,,11,14.20658868,30.93402062,
10,Union Territory,Delhi,,25,12.5631259,67.57339516,1890
11,State,Goa,,13.5,1.055007438,67.78475336,1482
12,State,Gujarat,10.69534604,27,34.51133451,62.16332501,3102
13,State,Haryana,1.056300834,19.5,23.22897417,55.4367653,3928
14,State,Himachal Pradesh,471.9317556,23,93.96223317,121.7885498,2318
15,Union Territory,Jammu and Kashmir,23.60106585,12,73.84060786,66.42284226,3029
16,State,Jharkhand,,7.5,9.480012883,37.15195279,3117
17,State,Karnataka,10.236822,18,63.20053363,37.53682859,2871
18,State,Kerala,136.2740337,24.5,40.1597862,45.63772969,1698
19,Union Territory,Ladakh ,23.60106585,12,73.84060786,81.40939597,3029
20,Union Territory,Lakshadweep,,9.5,100,309.3823529,
21,State,Madhya Pradesh,3.80503492,16.5,33.53120924,21.77809333,3809
22,State,Maharashtra,8.732113583,27.5,30.18259084,18.52507174,2816
23,State,Manipur,81.16883117,11,40.92506302,9.946721311,1822
24,State,Meghalaya,28.125,16.5,73.65618786,13.83915023,1798
25,State,Mizoram,,16.5,65.52904314,53.09433962,1585
26,State,Nagaland,56.23242737,10.5,53.57245173,52.5978162,1408
27,State,Odisha,22.7810783,22,31.40329275,120.0720634,3201
28,Union Territory,Puducherry,,21,2.0024433,40.45959596,
29,State,Punjab,4.713963433,18,37.72204676,10.41698461,3523
30,State,Rajasthan,2.219552956,18.5,46.0392287,22.64471171,4528
31,State,Sikkim,45.52352049,16,84.83904927,25.44542773,1620
32,State,Tamil Nadu,12.85449245,24.5,51.59075516,5.968658063,2412
33,State,Telangana,,13,41.1241495,6.073416113,2710
34,State,Tripura,55.51349987,22.5,12.41440393,27.03994119,3598
35,State,Uttar Pradesh,4.708456837,16.5,25.7689552,11.91422246,4390
36,State,Uttarakhand,62.41519674,19.5,71.5184245,52.03278259,3300
37,State,West Bengal,27.56476684,19.5,17.75679475,9.877834868,3761
